session_id	topic_id	query	query_id	doc_url	id
0	1	kenya swahili cooking dishes cook	0	https://www.pinterest.com/slutomia/swahili-food/	0
0	1	kenya swahili cooking dishes cook	0	https://www.pinterest.com/dkarama/swahili-recipes/	1
0	1	kenya swahili cooking dishes cook	0	https://cookpad.com/us/search/swahili	2
0	1	kenya swahili cooking dishes cook	0	https://theculturetrip.com/africa/kenya/articles/the-swahili-cuisine-kenya-s-mouthwatering-food/	3
0	1	kenya swahili cooking dishes cook	0	https://www.tuko.co.ke/271894-best-kenyan-swahili-dishes-recipes.html	4
0	1	kenya swahili cooking dishes cook	0	https://africageographic.com/stories/six-swahili-food-dishes-wont-want-miss/	5
0	1	kenya swahili cooking dishes cook	0	https://www.kitchencounterchronicle.com/kenya-swahili-pilau/	6
0	1	kenya swahili cooking dishes cook	0	https://matadornetwork.com/read/essential-kenya-dishes-swahili-coast/	7
0	1	kenya swahili cooking dishes cook	0	https://mayuris-jikoni.com/tag/swahili-cuisine/	8
0	1	kenya swahili cooking dishes cook	0	https://www.styleforwanderlust.com/the-style-for-wanderlust-blog/2019/6/10/swahili-food-essentials	9
1	2	airport dulles cities taxi city	0	https://www.flydulles.com/parking-transportation/washington-flyer-taxi-service	10
1	2	airport dulles cities taxi city	0	https://www.flydulles.com/directions-maps-0	11
1	2	airport dulles cities taxi city	0	https://m.yelp.com/search?find_desc=Taxi+To+Dulles+Airport&find_loc=Washington%2C+DC%2C+DC	12
1	2	airport dulles cities taxi city	0	https://www.uber.com/global/en/airports/iad/	13
1	2	airport dulles cities taxi city	0	https://freetoursbyfoot.com/transportation-washington-d-c-dulles-airport/	14
1	2	airport dulles cities taxi city	0	https://www.holidaytaxis.com/en/transfers/usa/washington-dc-dulles-international-airport/	15
1	2	airport dulles cities taxi city	0	https://lokafy.com/blog/arriving-washington-dc-how-get-airport-city-center/	16
1	2	airport dulles cities taxi city	0	https://tiketi.com/air-taxi-from-washington-dc-to-dulles-airport/	17
1	2	airport dulles cities taxi city	0	https://www.rome2rio.com/s/Washington-Dulles-Airport-IAD/Crystal-City	18
1	2	airport dulles cities taxi city	0	https://www.timeout.com/washington-dc/travel/traveling-to-and-from-washington-dc	19
2	3	phd business degree masters education	0	https://management.ntu.edu.tw/en/BA/page/index/menu_sn/543	20
2	3	phd business degree masters education	0	https://www.phdstudies.com/PhD/Business-Studies/	21
2	3	phd business degree masters education	0	https://www.phdstudies.com/PhD/Business-Administration/	22
2	3	phd business degree masters education	0	https://www.onlinestudies.com/PhD/Business-Studies/	23
2	3	phd business degree masters education	0	https://www.aacsb.edu/learners/journey/doctorate	24
2	3	phd business degree masters education	0	https://gradschool.oregonstate.edu/programs/2050/business-administration-phd-mba	25
2	3	phd business degree masters education	0	https://eller.arizona.edu/programs/doctoral	26
2	3	phd business degree masters education	0	https://bestaccreditedcolleges.org/articles/mba-vs-phd-in-business.html	27
2	3	phd business degree masters education	0	https://www.bu.edu/academics/questrom/programs/phd-in-management/	28
2	3	phd business degree masters education	0	https://en.ntnu.edu.tw/p-Education.php	29
3	4	smoking quitting hypnosis quit benefits	0	https://www.quitgenius.com/blog/hypnosis-for-quitting-smoking	30
3	4	smoking quitting hypnosis quit benefits	0	https://www.webmd.com/smoking-cessation/hypnosis-for-quitting-smoking	31
3	4	smoking quitting hypnosis quit benefits	0	https://www.healthline.com/health/hypnosis-to-quit-smoking	32
3	4	smoking quitting hypnosis quit benefits	0	https://www.healthline.com/health/hypnosis-to-quit-smoking#benefits	33
3	4	smoking quitting hypnosis quit benefits	0	https://www.healthline.com/health/hypnosis-to-quit-smoking#what-it-looks-like	34
3	4	smoking quitting hypnosis quit benefits	0	https://www.healthline.com/health/hypnosis-to-quit-smoking#other-ways-to-quit-smoking	35
3	4	smoking quitting hypnosis quit benefits	0	https://www.healthline.com/health/hypnosis-to-quit-smoking#summary	36
3	4	smoking quitting hypnosis quit benefits	0	https://www.mindsethealth.com/matter/stop-smoking-hypnosis	37
3	4	smoking quitting hypnosis quit benefits	0	https://www.mindsethealth.com/matter/stop-smoking-hypnosis#toc-benefits-of-quitting-smoking	38
